시군명,사업장명,인허가일자,영업상태명,폐업일자,총시설규모(㎡),위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,오늘,20120703,폐업,20200812,87.16,까페,"경기도 수원시 영통구 반달로 52 (영통동, 1014-3번지 1층)",경기도 수원시 영통구 영통동 1014-3 1층 ,,37.24974814,127.0773328
수원시,스타라이브카페,20091125,폐업,20100924,133.68,까페,경기도 수원시 장안구 정조로922번길 14,경기도 수원시 장안구 영화동 279-13 (2층) ,,37.29031206,127.0142093
수원시,주머니가득히,20080820,폐업,20090715,205.71,까페,경기도 수원시 팔달구 중부대로7번길 6,경기도 수원시 팔달구 영동 44-11 지하 1층 ,,37.27558858,127.0176991
수원시,마틴,20021121,폐업,20050516,42.72,까페,경기도 수원시 영통구 매영로425번길 1,경기도 수원시 영통구 영통동 1018-13 ,,37.24885778,127.0779016
수원시,리치하우스,20030320,폐업,20030419,0,까페,경기도 수원시 팔달구 정조로777번길 32,경기도 수원시 팔달구 남창동 136-24 ,,37.27766555,127.0142116
수원시,J(제이),20130111,폐업,20140813,75.8,까페,"경기도 수원시 팔달구 향교로3번길 20, 지하층 (매산로1가)",경기도 수원시 팔달구 매산로1가 19-13 ,,37.26855382,127.0015253
수원시,라이브갯섬7080,20090330,폐업,20100317,270.34,까페,경기도 수원시 팔달구 인계로94번길 39-22,경기도 수원시 팔달구 인계동 1024-3 ,,37.26595973,127.028396
수원시,로얄보드게임카페,2011-09-27,폐업,2025-03-07,108.16,까페,"경기도 수원시 장안구 팔달로291번길 7 (영화동,지하)",경기도 수원시 장안구 영화동 166-15 지하 ,16269,37.2908688685,127.0159093167
수원시,미식클럽,2010-06-30,폐업,2023-02-10,223.74,까페,"경기도 수원시 팔달구 향교로 3-2, 3.4층 (매산로1가)",경기도 수원시 팔달구 매산로1가 16-10 ,,37.26767987,127.0016213
수원시,쉼1,2013-03-13,폐업,2023-03-30,45.74,까페,"경기도 수원시 영통구 월드컵로179번길 10 (원천동, 37-15 외1필지 7번가 1층전체)",경기도 수원시 영통구 원천동 37-15 외1필지 7번가 1층전체 ,,37.27833038,127.0454308
수원시,커피톡앤톡,20130118,폐업,20160223,39.15,까페,"경기도 수원시 장안구 장안로29번길 13, 1층 (영화동)",경기도 수원시 장안구 영화동 424-38 ,,37.28715519,127.005024
